_Id,_PostId,_VoteTypeId,_CreationDate
64,18,2,2012-02-16T00:00:00.000
73,18,2,2012-02-16T00:00:00.000
77,18,2,2012-02-16T00:00:00.000
107,18,2,2012-02-17T00:00:00.000
130,18,2,2012-02-20T00:00:00.000
301,18,2,2012-03-07T00:00:00.000
308,18,2,2012-03-07T00:00:00.000
346,18,2,2012-03-09T00:00:00.000
371,18,2,2012-03-15T00:00:00.000
506,18,2,2012-05-23T00:00:00.000
2900,18,2,2013-03-31T00:00:00.000
4236,18,2,2014-01-06T00:00:00.000
131,19,2,2012-02-20T00:00:00.000
12665,19,2,2015-02-20T00:00:00.000
56,20,2,2012-02-16T00:00:00.000
106,20,2,2012-02-17T00:00:00.000
307,20,2,2012-03-07T00:00:00.000
4237,20,2,2014-01-06T00:00:00.000
68,21,3,2012-02-16T00:00:00.000
81,21,3,2012-02-16T00:00:00.000
86,21,3,2012-02-16T00:00:00.000
110,21,2,2012-02-17T00:00:00.000
2530,21,3,2013-01-24T00:00:00.000
2853,21,2,2013-03-27T00:00:00.000
3203,21,3,2013-05-20T00:00:00.000
3268,21,2,2013-05-30T00:00:00.000
4021,21,2,2013-11-20T00:00:00.000
8505,21,3,2014-09-16T00:00:00.000
604,22,2,2012-05-31T00:00:00.000
72,23,2,2012-02-16T00:00:00.000
83,23,3,2012-02-16T00:00:00.000
115,23,2,2012-02-19T00:00:00.000
22119,23,2,2016-08-27T00:00:00.000
24838,23,2,2017-04-13T00:00:00.000
62,24,2,2012-02-16T00:00:00.000
91,24,2,2012-02-17T00:00:00.000
135,24,2,2012-02-21T00:00:00.000
304,24,2,2012-03-07T00:00:00.000
309,24,2,2012-03-07T00:00:00.000
353,24,2,2012-03-11T00:00:00.000
387,24,2,2012-03-17T00:00:00.000
389,24,2,2012-03-17T00:00:00.000
392,24,2,2012-03-19T00:00:00.000
734,24,2,2012-07-27T00:00:00.000
4823,24,2,2014-03-09T00:00:00.000
4839,24,2,2014-03-11T00:00:00.000
13108,24,2,2015-03-17T00:00:00.000
22903,24,2,2016-10-20T00:00:00.000
10550,25,2,2014-12-20T00:00:00.000
66,26,2,2012-02-16T00:00:00.000
78,26,2,2012-02-16T00:00:00.000
127,26,2,2012-02-20T00:00:00.000
143,26,2,2012-02-21T00:00:00.000
183,26,1,2012-02-22T00:00:00.000
738,26,2,2012-07-27T00:00:00.000
899,26,2,2012-09-28T00:00:00.000
74,27,2,2012-02-16T00:00:00.000
87,27,2,2012-02-16T00:00:00.000
185,27,2,2012-02-22T00:00:00.000
21906,27,2,2016-08-16T00:00:00.000
80,28,2,2012-02-16T00:00:00.000
84,28,2,2012-02-16T00:00:00.000
241,28,1,2012-02-27T00:00:00.000
2531,28,2,2013-01-24T00:00:00.000
2854,28,3,2013-03-27T00:00:00.000
3202,28,3,2013-05-20T00:00:00.000
3269,28,2,2013-05-30T00:00:00.000
79,29,2,2012-02-16T00:00:00.000
2855,29,2,2013-03-27T00:00:00.000
2903,29,2,2013-03-31T00:00:00.000
3201,29,2,2013-05-20T00:00:00.000
3270,29,2,2013-05-30T00:00:00.000
88,30,2,2012-02-16T00:00:00.000
92,30,2,2012-02-17T00:00:00.000
138,30,2,2012-02-21T00:00:00.000
146,30,2,2012-02-21T00:00:00.000
184,30,2,2012-02-22T00:00:00.000
21905,30,3,2016-08-16T00:00:00.000
22173,30,2,2016-08-31T00:00:00.000
108,31,2,2012-02-17T00:00:00.000
289,31,2,2012-03-07T00:00:00.000
3405,31,2,2013-07-11T00:00:00.000
12465,31,3,2015-02-10T00:00:00.000
109,32,6,2012-02-17T00:00:00.000
