_Id,_UserId,_Name,_Date,_Class,_TagBased
22,23,Teacher,2012-02-14T21:49:40.283,3,False
29,37,Teacher,2012-02-15T03:41:37.727,3,False
31,31,Teacher,2012-02-15T05:07:03.680,3,False
43,100,Teacher,2012-02-15T15:09:40.207,3,False
45,73,Teacher,2012-02-15T15:49:47.397,3,False
56,96,Teacher,2012-02-15T20:26:13.633,3,False
64,53,Teacher,2012-02-15T23:26:56.490,3,False
66,5,Teacher,2012-02-16T00:17:05.757,3,False
72,8,Teacher,2012-02-16T13:01:00.550,3,False
77,3,Teacher,2012-02-16T16:12:09.900,3,False
88,109,Teacher,2012-02-17T17:49:03.170,3,False
113,79,Teacher,2012-02-22T10:37:06.717,3,False
115,201,Teacher,2012-02-22T12:22:37.013,3,False
118,77,Teacher,2012-02-22T16:08:42.867,3,False
121,118,Teacher,2012-02-22T16:44:00.920,3,False
174,66,Teacher,2012-03-07T00:54:31.580,3,False
176,324,Teacher,2012-03-07T11:17:08.420,3,False
178,358,Teacher,2012-03-07T19:20:47.250,3,False
193,127,Teacher,2012-03-15T04:11:43.447,3,False
200,346,Teacher,2012-03-16T18:54:04.250,3,False
224,314,Teacher,2012-04-27T20:29:51.870,3,False
230,612,Teacher,2012-05-05T18:43:14.183,3,False
243,62,Teacher,2012-05-22T12:45:46.543,3,False
268,213,Teacher,2012-06-19T05:17:46.493,3,False
277,929,Teacher,2012-06-25T15:21:07.747,3,False
287,65,Teacher,2012-07-08T22:40:07.870,3,False
291,81,Teacher,2012-07-17T09:17:30.350,3,False
299,1033,Teacher,2012-07-23T19:29:06.753,3,False
339,1069,Teacher,2012-09-13T04:40:06.233,3,False
353,1580,Teacher,2012-10-04T07:50:26.373,3,False
358,49,Teacher,2012-10-12T02:00:46.390,3,False
359,1537,Teacher,2012-10-12T02:00:46.390,3,False
364,2700,Teacher,2012-10-15T15:40:29.200,3,False
366,418,Teacher,2012-10-16T19:22:52.593,3,False
369,3844,Teacher,2012-10-16T19:32:52.700,3,False
380,643,Teacher,2012-10-20T21:55:16.923,3,False
394,64,Teacher,2012-10-27T13:44:45.310,3,False
399,440,Teacher,2012-10-28T06:24:50.337,3,False
401,411,Teacher,2012-10-28T13:49:51.797,3,False
429,4079,Teacher,2012-11-17T13:38:55.363,3,False
448,582,Teacher,2012-11-28T07:33:43.290,3,False
454,1424,Teacher,2012-12-01T01:02:11.813,3,False
485,546,Teacher,2013-01-09T22:15:32.640,3,False
486,1265,Teacher,2013-01-09T22:15:32.640,3,False
1509,236,Teacher,2013-01-26T07:33:44.613,3,False
1516,1484,Teacher,2013-01-28T01:37:42.947,3,False
1522,43,Teacher,2013-01-31T10:43:39.980,3,False
1627,705,Teacher,2013-03-09T07:20:18.940,3,False
1652,6388,Teacher,2013-03-26T21:53:22.813,3,False
1656,4394,Teacher,2013-03-27T13:47:31.130,3,False
1684,5711,Teacher,2013-04-05T12:28:43.160,3,False
1701,4503,Teacher,2013-04-13T19:57:46.540,3,False
1705,5845,Teacher,2013-04-15T01:06:11.273,3,False
1717,6273,Teacher,2013-04-25T09:29:28.063,3,False
1738,5674,Teacher,2013-05-04T20:33:00.897,3,False
1743,924,Teacher,2013-05-07T10:15:45.440,3,False
1747,746,Teacher,2013-05-10T06:48:14.770,3,False
1752,78,Teacher,2013-05-15T06:57:13.463,3,False
1774,2692,Teacher,2013-05-26T00:49:49.490,3,False
1779,4429,Teacher,2013-05-28T01:58:08.147,3,False
1805,5944,Teacher,2013-06-18T14:28:40.417,3,False
1843,7676,Teacher,2013-07-09T11:29:33.203,3,False
1872,1002,Teacher,2013-07-22T17:29:40.747,3,False
1912,4461,Teacher,2013-08-20T08:28:43.680,3,False
1936,496,Teacher,2013-09-11T15:25:55.523,3,False
1951,5978,Teacher,2013-09-20T10:25:59.120,3,False
2084,9488,Teacher,2013-12-15T14:46:13.447,3,False
2086,9957,Teacher,2013-12-17T00:14:21.233,3,False
2087,1471,Teacher,2013-12-17T00:19:17.020,3,False
2097,9518,Teacher,2013-12-23T09:02:02.840,3,False
2173,820,Teacher,2014-01-23T13:55:43.957,3,False
2174,8394,Teacher,2014-01-23T14:56:14.357,3,False
2231,103,Teacher,2014-02-09T22:13:58.917,3,False
2232,6450,Teacher,2014-02-09T22:44:06.850,3,False
2286,6144,Teacher,2014-02-17T13:34:02.130,3,False
2298,6690,Teacher,2014-02-19T13:10:08.227,3,False
2302,25,Teacher,2014-02-19T19:42:25.843,3,False
2308,938,Teacher,2014-02-21T03:58:18.263,3,False
2342,1556,Teacher,2014-03-02T22:00:00.870,3,False
2370,11365,Teacher,2014-03-07T19:21:10.510,3,False
2381,9263,Teacher,2014-03-09T16:32:12.213,3,False
2571,72,Teacher,2014-04-24T18:18:44.233,3,False
2588,10685,Teacher,2014-04-25T17:14:52.523,3,False
2628,8185,Teacher,2014-05-03T04:13:10.270,3,False
2649,1419,Teacher,2014-05-06T21:55:02.283,3,False
2657,10094,Teacher,2014-05-07T16:25:25.107,3,False
2671,13778,Teacher,2014-05-08T20:08:48.917,3,False
2673,285,Teacher,2014-05-08T22:04:35.410,3,False
2687,13852,Teacher,2014-05-11T20:27:18.897,3,False
2723,1010,Teacher,2014-05-16T23:57:35.813,3,False
2736,351,Teacher,2014-05-20T19:29:08.590,3,False
2769,10587,Teacher,2014-05-26T21:35:02.460,3,False
2854,7734,Teacher,2014-06-08T13:43:16.917,3,False
3857,13793,Teacher,2014-06-09T22:15:07.730,3,False
3894,10529,Teacher,2014-06-24T15:28:12.230,3,False
3901,11420,Teacher,2014-06-27T15:48:13.210,3,False
3902,10042,Teacher,2014-06-27T16:03:13.147,3,False
4975,11901,Teacher,2014-07-11T19:12:28.793,3,False
4987,7773,Teacher,2014-07-13T16:10:36.487,3,False
5017,15723,Teacher,2014-07-19T13:54:03.937,3,False
5067,19703,Teacher,2014-07-31T12:29:30.870,3,False
5823,22394,Teacher,2014-09-30T07:41:38.043,3,False
5827,600,Teacher,2014-09-30T17:09:42.720,3,False
5886,22733,Teacher,2014-10-16T10:18:14.330,3,False
5919,1023,Teacher,2014-10-22T08:31:45.170,3,False
5928,10643,Teacher,2014-10-22T17:33:03.253,3,False
5973,20058,Teacher,2014-10-28T07:08:17.463,3,False
6040,532,Teacher,2014-11-05T02:35:03.330,3,False
6041,9041,Teacher,2014-11-05T03:30:51.617,3,False
6048,22013,Teacher,2014-11-05T19:17:12.843,3,False
6140,703,Teacher,2014-11-20T14:10:38.843,3,False
6177,10637,Teacher,2014-11-26T13:23:05.333,3,False
6180,21790,Teacher,2014-11-26T19:01:53.283,3,False
6205,24908,Teacher,2014-11-30T16:09:55.103,3,False
6234,12346,Teacher,2014-12-04T17:58:40.927,3,False
6255,780,Teacher,2014-12-09T12:04:55.583,3,False
7315,5904,Teacher,2014-12-17T11:15:04.857,3,False
7335,69,Teacher,2014-12-20T09:40:12.663,3,False
7377,958,Teacher,2014-12-26T12:04:14.513,3,False
7380,26682,Teacher,2014-12-26T16:22:14.767,3,False
7399,26808,Teacher,2014-12-28T19:37:43.260,3,False
7454,24384,Teacher,2015-01-05T02:19:16.603,3,False
8487,27498,Teacher,2015-01-08T23:34:31.520,3,False
8864,14885,Teacher,2015-02-18T16:14:28.427,3,False
8870,29506,Teacher,2015-02-19T00:07:59.140,3,False
9073,637,Teacher,2015-03-09T19:29:52.403,3,False
9144,3940,Teacher,2015-03-12T19:49:59.233,3,False
9203,4384,Teacher,2015-03-19T02:50:36.707,3,False
9293,31700,Teacher,2015-03-28T04:58:00.297,3,False
9304,8513,Teacher,2015-03-30T07:27:08.727,3,False
9396,24682,Teacher,2015-04-12T21:33:32.767,3,False
9587,17534,Teacher,2015-05-05T09:13:45.837,3,False
9620,307,Teacher,2015-05-12T10:55:24.820,3,False
9626,3928,Teacher,2015-05-13T20:59:01.827,3,False
9641,33096,Teacher,2015-05-18T16:30:48.433,3,False
9669,20375,Teacher,2015-05-20T21:36:54.357,3,False
9683,9664,Teacher,2015-05-22T10:24:07.100,3,False
9684,13372,Teacher,2015-05-22T10:43:47.990,3,False
9749,14341,Teacher,2015-05-31T17:35:47.477,3,False
9823,4140,Teacher,2015-06-10T09:32:39.480,3,False
9864,32436,Teacher,2015-06-18T02:44:37.843,3,False
9919,35515,Teacher,2015-06-26T00:12:15.070,3,False
9941,563,Teacher,2015-06-30T05:02:03.500,3,False
9988,32458,Teacher,2015-07-08T15:30:32.457,3,False
9996,31487,Teacher,2015-07-09T13:52:37.830,3,False
10065,26460,Teacher,2015-07-19T13:57:40.287,3,False
10083,8375,Teacher,2015-07-20T21:04:27.093,3,False
10213,15315,Teacher,2015-08-07T15:39:48.190,3,False
11272,36363,Teacher,2015-08-16T02:19:43.503,3,False
11273,38595,Teacher,2015-08-16T08:21:08.510,3,False
11359,37048,Teacher,2015-08-24T00:35:23.203,3,False
11371,898,Teacher,2015-08-25T10:40:56.960,3,False
11418,11734,Teacher,2015-08-29T09:52:04.380,3,False
11539,31149,Teacher,2015-09-14T21:52:03.357,3,False
11665,7357,Teacher,2015-09-28T17:55:08.130,3,False
11716,41580,Teacher,2015-10-06T12:59:57.230,3,False
11873,42813,Teacher,2015-11-06T14:59:20.867,3,False
11997,7135,Teacher,2015-11-21T22:57:50.003,3,False
12019,20457,Teacher,2015-11-24T20:15:25.007,3,False
12064,22995,Teacher,2015-11-30T13:31:09.253,3,False
12070,32575,Teacher,2015-12-01T01:00:16.707,3,False
12371,36320,Teacher,2016-01-08T18:38:49.430,3,False
12429,21974,Teacher,2016-01-18T08:46:11.377,3,False
12430,8031,Teacher,2016-01-18T12:31:21.413,3,False
12472,6787,Teacher,2016-01-22T15:43:29.843,3,False
12775,452,Teacher,2016-02-22T19:31:20.323,3,False
12869,4018,Teacher,2016-03-05T20:04:01.297,3,False
12894,50451,Teacher,2016-03-08T12:19:12.080,3,False
13020,13240,Teacher,2016-03-23T00:05:08.850,3,False
13086,47971,Teacher,2016-04-03T19:50:39.753,3,False
13136,26477,Teacher,2016-04-08T22:10:13.593,3,False
13184,9700,Teacher,2016-04-13T16:16:26.277,3,False
13246,30639,Teacher,2016-04-16T01:35:26.220,3,False
13294,28355,Teacher,2016-04-20T16:17:36.047,3,False
13352,10739,Teacher,2016-04-27T17:03:19.657,3,False
13371,15477,Teacher,2016-04-29T17:26:09.970,3,False
13470,12050,Teacher,2016-05-09T05:53:22.060,3,False
13556,877,Teacher,2016-05-19T15:02:46.190,3,False
13579,23602,Teacher,2016-05-23T13:14:28.427,3,False
13595,39045,Teacher,2016-05-25T08:49:40.807,3,False
14683,39119,Teacher,2016-06-11T09:57:34.797,3,False
14689,47985,Teacher,2016-06-12T18:38:00.073,3,False
14853,26708,Teacher,2016-07-10T07:07:33.390,3,False
14894,19607,Teacher,2016-07-13T15:03:22.160,3,False
