_Id,_UserId,_Name,_Date,_Class,_TagBased
736,1422,Student,2018-06-22T13:34:06.203,3,False
758,8884,Student,2018-07-10T09:20:37.270,3,False
791,4927,Student,2018-08-15T16:45:15.480,3,False
804,2082,Student,2018-08-24T16:15:16.313,3,False
807,11242,Student,2018-09-03T22:15:14.217,3,False
831,12377,Student,2018-10-07T07:30:00.343,3,False
833,10139,Student,2018-10-07T09:30:12.190,3,False
880,7,Student,2019-01-02T05:30:00.247,3,False
887,4922,Student,2019-01-09T05:00:19.740,3,False
930,14452,Student,2019-02-06T07:30:01.093,3,False
964,5,Student,2019-05-17T06:00:37.643,3,False
971,1,Student,2019-06-06T22:00:38.383,3,False
984,1722,Student,2019-06-20T09:30:20.513,3,False
1002,11333,Student,2019-07-16T20:30:10.853,3,False
1022,10131,Student,2019-08-19T04:30:03.043,3,False
1026,11157,Student,2019-09-01T21:30:01.780,3,False
1037,9201,Student,2019-10-07T18:30:01.717,3,False
1048,12562,Student,2019-10-25T20:30:08.470,3,False
1105,19195,Student,2019-11-20T12:45:05.513,3,False
1132,13883,Student,2020-01-06T21:45:06.317,3,False
1177,16523,Student,2020-03-11T19:00:26.087,3,False
1190,19482,Student,2020-04-19T06:02:20.387,3,False
1289,12917,Student,2021-01-06T07:16:50.287,3,False
1292,1998,Student,2021-01-09T00:04:25.573,3,False
1320,13,Student,2021-01-20T13:48:00.317,3,False
1339,26170,Student,2021-02-02T10:19:35.897,3,False
2372,16811,Student,2021-04-07T17:47:30.337,3,False
2405,28508,Student,2021-06-22T13:46:35.297,3,False
2546,1127,Student,2022-06-05T03:06:40.673,3,False
2596,21979,Student,2022-09-12T22:34:05.367,3,False
2684,27865,Student,2023-04-13T15:46:30.247,3,False
2688,38036,Student,2023-05-04T13:05:15.877,3,False
2784,33672,Student,2023-11-22T15:34:45.643,3,False
29,63,Editor,2016-01-12T20:41:49.063,3,False
32,23,Editor,2016-01-12T21:01:51.573,3,False
59,1,Editor,2016-01-12T22:20:53.780,3,False
86,20,Editor,2016-01-13T01:04:36.653,3,False
104,163,Editor,2016-01-13T06:42:47.980,3,False
164,47,Editor,2016-01-14T07:22:42.863,3,False
