_Id,_PostId,_VoteTypeId,_CreationDate
62,22,1,2016-01-13T00:00:00.000
63,22,2,2016-01-13T00:00:00.000
64,22,2,2016-01-13T00:00:00.000
78,22,2,2016-01-13T00:00:00.000
161,22,2,2016-01-13T00:00:00.000
51,23,2,2016-01-12T00:00:00.000
59,23,2,2016-01-12T00:00:00.000
72,23,2,2016-01-13T00:00:00.000
124,23,2,2016-01-13T00:00:00.000
131,23,2,2016-01-13T00:00:00.000
141,23,2,2016-01-13T00:00:00.000
158,23,2,2016-01-13T00:00:00.000
171,23,2,2016-01-13T00:00:00.000
175,23,2,2016-01-13T00:00:00.000
213,23,2,2016-01-14T00:00:00.000
217,23,2,2016-01-14T00:00:00.000
249,23,2,2016-01-15T00:00:00.000
262,23,2,2016-01-16T00:00:00.000
1084,23,2,2018-09-21T00:00:00.000
55,24,2,2016-01-12T00:00:00.000
65,24,2,2016-01-13T00:00:00.000
68,24,2,2016-01-13T00:00:00.000
89,24,2,2016-01-13T00:00:00.000
123,25,2,2016-01-13T00:00:00.000
196,25,2,2016-01-14T00:00:00.000
70,26,2,2016-01-13T00:00:00.000
127,26,2,2016-01-13T00:00:00.000
75,27,2,2016-01-13T00:00:00.000
125,27,2,2016-01-13T00:00:00.000
221,27,2,2016-01-14T00:00:00.000
472,27,1,2016-04-30T00:00:00.000
113,28,2,2016-01-13T00:00:00.000
144,28,2,2016-01-13T00:00:00.000
174,28,2,2016-01-13T00:00:00.000
651,28,2,2016-11-21T00:00:00.000
94,29,10,2016-01-13T00:00:00.000
98,30,2,2016-01-13T00:00:00.000
103,30,2,2016-01-13T00:00:00.000
111,30,2,2016-01-13T00:00:00.000
120,30,2,2016-01-13T00:00:00.000
121,30,2,2016-01-13T00:00:00.000
126,30,2,2016-01-13T00:00:00.000
298,30,2,2016-01-21T00:00:00.000
583,30,2,2016-07-04T00:00:00.000
947,30,2,2018-07-31T00:00:00.000
949,30,2,2018-07-31T00:00:00.000
955,30,2,2018-08-01T00:00:00.000
973,30,2,2018-08-04T00:00:00.000
1036,30,2,2018-08-23T00:00:00.000
1434,30,2,2019-12-06T00:00:00.000
1545,30,2,2020-06-09T00:00:00.000
1549,30,2,2020-06-17T00:00:00.000
1559,30,2,2020-07-10T00:00:00.000
2039,30,2,2022-12-21T00:00:00.000
2130,30,2,2023-11-27T00:00:00.000
97,31,2,2016-01-13T00:00:00.000
105,31,2,2016-01-13T00:00:00.000
95,32,2,2016-01-13T00:00:00.000
112,32,2,2016-01-13T00:00:00.000
119,32,2,2016-01-13T00:00:00.000
152,32,2,2016-01-13T00:00:00.000
180,32,2,2016-01-13T00:00:00.000
194,32,2,2016-01-14T00:00:00.000
205,32,2,2016-01-14T00:00:00.000
238,32,2,2016-01-15T00:00:00.000
259,32,2,2016-01-15T00:00:00.000
364,32,2,2016-02-02T00:00:00.000
532,32,2,2016-06-12T00:00:00.000
1257,32,2,2019-05-06T00:00:00.000
1343,32,2,2019-07-07T00:00:00.000
110,33,3,2016-01-13T00:00:00.000
114,33,3,2016-01-13T00:00:00.000
118,33,3,2016-01-13T00:00:00.000
154,33,2,2016-01-13T00:00:00.000
169,33,2,2016-01-13T00:00:00.000
210,33,2,2016-01-14T00:00:00.000
245,33,2,2016-01-15T00:00:00.000
257,33,2,2016-01-15T00:00:00.000
286,33,2,2016-01-20T00:00:00.000
365,33,2,2016-02-02T00:00:00.000
720,33,2,2017-01-11T00:00:00.000
1334,33,2,2019-06-25T00:00:00.000
1747,33,2,2021-01-17T00:00:00.000
99,34,2,2016-01-13T00:00:00.000
108,34,2,2016-01-13T00:00:00.000
155,34,3,2016-01-13T00:00:00.000
168,34,3,2016-01-13T00:00:00.000
241,34,2,2016-01-15T00:00:00.000
258,34,3,2016-01-15T00:00:00.000
427,34,2,2016-03-16T00:00:00.000
100,35,2,2016-01-13T00:00:00.000
109,35,2,2016-01-13T00:00:00.000
117,35,2,2016-01-13T00:00:00.000
132,35,2,2016-01-13T00:00:00.000
134,35,2,2016-01-13T00:00:00.000
153,35,3,2016-01-13T00:00:00.000
165,35,2,2016-01-13T00:00:00.000
166,35,3,2016-01-13T00:00:00.000
173,35,2,2016-01-13T00:00:00.000
178,35,3,2016-01-13T00:00:00.000
179,35,2,2016-01-13T00:00:00.000
206,35,2,2016-01-14T00:00:00.000
239,35,2,2016-01-15T00:00:00.000
265,35,3,2016-01-16T00:00:00.000
425,35,2,2016-03-16T00:00:00.000
533,35,2,2016-06-12T00:00:00.000
718,35,3,2017-01-11T00:00:00.000
106,36,2,2016-01-13T00:00:00.000
107,36,2,2016-01-13T00:00:00.000
139,37,2,2016-01-13T00:00:00.000
138,38,3,2016-01-13T00:00:00.000
211,38,3,2016-01-14T00:00:00.000
136,39,2,2016-01-13T00:00:00.000
143,39,2,2016-01-13T00:00:00.000
135,40,2,2016-01-13T00:00:00.000
147,40,2,2016-01-13T00:00:00.000
652,40,2,2016-11-21T00:00:00.000
133,41,2,2016-01-13T00:00:00.000
150,41,2,2016-01-13T00:00:00.000
162,41,2,2016-01-13T00:00:00.000
181,41,2,2016-01-13T00:00:00.000
197,41,2,2016-01-14T00:00:00.000
251,41,2,2016-01-15T00:00:00.000
277,41,2,2016-01-18T00:00:00.000
301,41,2,2016-01-23T00:00:00.000
317,41,2,2016-01-26T00:00:00.000
538,41,2,2016-06-12T00:00:00.000
1011,41,2,2018-08-15T00:00:00.000
1531,41,2,2020-04-20T00:00:00.000
2054,41,2,2023-04-10T00:00:00.000
137,42,2,2016-01-13T00:00:00.000
148,42,2,2016-01-13T00:00:00.000
227,42,2,2016-01-14T00:00:00.000
650,42,2,2016-11-21T00:00:00.000
1773,42,2,2021-02-02T00:00:00.000
1846,42,2,2021-08-11T00:00:00.000
380,43,2,2016-02-08T00:00:00.000
142,44,3,2016-01-13T00:00:00.000
146,44,3,2016-01-13T00:00:00.000
149,45,2,2016-01-13T00:00:00.000
653,45,2,2016-11-21T00:00:00.000
1161,45,2,2018-12-06T00:00:00.000
184,46,2,2016-01-13T00:00:00.000
163,47,2,2016-01-13T00:00:00.000
167,47,2,2016-01-13T00:00:00.000
172,47,2,2016-01-13T00:00:00.000
177,47,2,2016-01-13T00:00:00.000
207,47,2,2016-01-14T00:00:00.000
240,47,2,2016-01-15T00:00:00.000
363,47,2,2016-02-02T00:00:00.000
534,47,2,2016-06-12T00:00:00.000
716,47,2,2017-01-08T00:00:00.000
717,47,2,2017-01-11T00:00:00.000
1344,47,2,2019-07-07T00:00:00.000
1746,47,2,2021-01-17T00:00:00.000
159,48,2,2016-01-13T00:00:00.000
264,48,2,2016-01-16T00:00:00.000
582,48,2,2016-07-04T00:00:00.000
948,48,2,2018-07-31T00:00:00.000
958,48,2,2018-08-01T00:00:00.000
1001,48,2,2018-08-14T00:00:00.000
1035,48,2,2018-08-23T00:00:00.000
1550,48,2,2020-06-17T00:00:00.000
2040,48,2,2022-12-21T00:00:00.000
185,49,2,2016-01-13T00:00:00.000
189,49,2,2016-01-13T00:00:00.000
200,49,2,2016-01-14T00:00:00.000
220,49,2,2016-01-14T00:00:00.000
230,49,2,2016-01-14T00:00:00.000
254,49,2,2016-01-15T00:00:00.000
270,49,2,2016-01-17T00:00:00.000
272,49,2,2016-01-17T00:00:00.000
942,49,2,2018-07-30T00:00:00.000
188,50,2,2016-01-13T00:00:00.000
201,50,2,2016-01-14T00:00:00.000
204,50,2,2016-01-14T00:00:00.000
224,50,2,2016-01-14T00:00:00.000
183,51,2,2016-01-13T00:00:00.000
222,51,2,2016-01-14T00:00:00.000
186,52,2,2016-01-13T00:00:00.000
231,52,2,2016-01-14T00:00:00.000
273,52,2,2016-01-17T00:00:00.000
293,52,2,2016-01-21T00:00:00.000
307,52,2,2016-01-24T00:00:00.000
320,52,2,2016-01-26T00:00:00.000
468,52,1,2016-04-18T00:00:00.000
945,52,2,2018-07-30T00:00:00.000
1480,52,2,2020-03-05T00:00:00.000
203,53,2,2016-01-14T00:00:00.000
225,53,2,2016-01-14T00:00:00.000
279,53,2,2016-01-18T00:00:00.000
1061,53,2,2018-09-04T00:00:00.000
190,54,3,2016-01-13T00:00:00.000
191,54,3,2016-01-13T00:00:00.000
192,54,3,2016-01-13T00:00:00.000
202,54,2,2016-01-14T00:00:00.000
212,55,3,2016-01-14T00:00:00.000
215,55,2,2016-01-14T00:00:00.000
244,55,2,2016-01-15T00:00:00.000
256,55,2,2016-01-15T00:00:00.000
366,55,2,2016-02-02T00:00:00.000
441,55,2,2016-04-12T00:00:00.000
719,55,2,2017-01-11T00:00:00.000
1333,55,2,2019-06-25T00:00:00.000
216,56,2,2016-01-14T00:00:00.000
218,56,2,2016-01-14T00:00:00.000
223,56,2,2016-01-14T00:00:00.000
229,56,2,2016-01-14T00:00:00.000
237,56,2,2016-01-15T00:00:00.000
255,56,2,2016-01-15T00:00:00.000
297,56,2,2016-01-21T00:00:00.000
300,56,2,2016-01-23T00:00:00.000
384,56,2,2016-02-08T00:00:00.000
387,56,2,2016-02-09T00:00:00.000
389,56,2,2016-02-10T00:00:00.000
398,56,2,2016-02-15T00:00:00.000
401,56,2,2016-02-15T00:00:00.000
414,56,2,2016-02-24T00:00:00.000
449,56,2,2016-04-12T00:00:00.000
228,57,2,2016-01-14T00:00:00.000
274,57,3,2016-01-17T00:00:00.000
285,57,3,2016-01-19T00:00:00.000
232,58,2,2016-01-15T00:00:00.000
234,58,2,2016-01-15T00:00:00.000
762,58,2,2017-05-30T00:00:00.000
252,59,2,2016-01-15T00:00:00.000
253,59,2,2016-01-15T00:00:00.000
808,59,2,2017-11-15T00:00:00.000
1022,59,2,2018-08-18T00:00:00.000
1107,59,2,2018-10-09T00:00:00.000
1253,59,2,2019-05-06T00:00:00.000
2128,59,2,2023-11-27T00:00:00.000
260,60,2,2016-01-15T00:00:00.000
266,61,2,2016-01-16T00:00:00.000
269,61,2,2016-01-16T00:00:00.000
278,61,2,2016-01-18T00:00:00.000
357,61,2,2016-02-01T00:00:00.000
1030,61,3,2018-08-20T00:00:00.000
1109,61,2,2018-10-09T00:00:00.000
2126,61,3,2023-11-27T00:00:00.000
267,62,2,2016-01-16T00:00:00.000
809,62,2,2017-11-15T00:00:00.000
1024,62,2,2018-08-18T00:00:00.000
1026,62,2,2018-08-19T00:00:00.000
1108,62,2,2018-10-09T00:00:00.000
2127,62,2,2023-11-27T00:00:00.000
275,65,2,2016-01-17T00:00:00.000
276,66,2,2016-01-18T00:00:00.000
284,66,2,2016-01-19T00:00:00.000
283,67,2,2016-01-19T00:00:00.000
288,67,2,2016-01-20T00:00:00.000
1089,67,2,2018-10-02T00:00:00.000
1275,67,2,2019-05-29T00:00:00.000
287,68,2,2016-01-20T00:00:00.000
294,68,2,2016-01-21T00:00:00.000
491,68,2,2016-05-04T00:00:00.000
1088,68,2,2018-10-02T00:00:00.000
1269,68,2,2019-05-29T00:00:00.000
291,69,2,2016-01-20T00:00:00.000
314,69,2,2016-01-24T00:00:00.000
435,69,2,2016-03-26T00:00:00.000
292,70,3,2016-01-20T00:00:00.000
313,70,2,2016-01-24T00:00:00.000
295,71,2,2016-01-21T00:00:00.000
296,71,2,2016-01-21T00:00:00.000
299,71,2,2016-01-23T00:00:00.000
436,71,2,2016-03-26T00:00:00.000
308,72,2,2016-01-24T00:00:00.000
312,72,2,2016-01-24T00:00:00.000
437,73,2,2016-03-26T00:00:00.000
309,74,2,2016-01-24T00:00:00.000
319,74,2,2016-01-26T00:00:00.000
321,74,2,2016-01-26T00:00:00.000
323,74,2,2016-01-27T00:00:00.000
325,74,2,2016-01-27T00:00:00.000
327,74,2,2016-01-28T00:00:00.000
350,74,2,2016-01-31T00:00:00.000
360,74,2,2016-02-02T00:00:00.000
376,74,2,2016-02-05T00:00:00.000
422,74,2,2016-03-13T00:00:00.000
775,74,2,2017-06-05T00:00:00.000
1258,74,2,2019-05-06T00:00:00.000
2055,74,2,2023-04-10T00:00:00.000
310,75,2,2016-01-24T00:00:00.000
311,75,2,2016-01-24T00:00:00.000
322,75,2,2016-01-27T00:00:00.000
324,75,2,2016-01-27T00:00:00.000
773,75,3,2017-06-05T00:00:00.000
316,76,3,2016-01-26T00:00:00.000
346,76,2,2016-01-30T00:00:00.000
377,76,2,2016-02-05T00:00:00.000
465,76,2,2016-04-14T00:00:00.000
543,76,2,2016-06-12T00:00:00.000
641,76,2,2016-11-18T00:00:00.000
656,76,2,2016-11-22T00:00:00.000
701,76,2,2016-12-21T00:00:00.000
